Lon,Lat
-122.29895,31.64524
-122.33375,31.74875
-122.36864,31.85227
-122.40362,31.9558
-122.4387,32.05935
-122.47387,32.1629
-122.50913,32.26646
-122.54449,32.37003
-122.57995,32.47361
-122.6155,32.5772
-122.65115,32.6808
-122.6869,32.78441
-122.72274,32.88803
-122.75867,32.99165
-122.79472,33.09528
-122.83085,33.19892
-122.86708,33.30256
-122.90342,33.40621
-122.93985,33.50987
-122.97639,33.61353
-123.01302,33.7172
-123.04975,33.82087
-123.08659,33.92454
-123.12352,34.02822
-123.16056,34.1319
-123.1977,34.23559
-123.23494,34.33928
-123.27229,34.44297
-123.30974,34.54667
-123.34729,34.65036
-123.38495,34.75406
-123.42271,34.85775
-123.46058,34.96145
-123.49855,35.06515
-123.53663,35.16885
-123.57481,35.27254
-123.61311,35.37624
-123.6515,35.47994
-123.69002,35.58363
-123.72863,35.68732
-123.76736,35.79101
-123.80619,35.8947
-123.84513,35.99838
-123.88419,36.10206
-123.92335,36.20573
-123.96262,36.30941
-124.00201,36.41307
-124.0415,36.51673
-124.08112,36.62039
-124.12083,36.72404
-124.16068,36.82768
-124.20062,36.93132
-124.24068,37.03495
-124.28086,37.13857
-124.32116,37.24218
-124.36156,37.34578
-124.40209,37.44938
-124.44273,37.55297
-124.48349,37.65655
-124.52437,37.76012
-124.56536,37.86367
-124.60648,37.96722
-124.64771,38.07076
-124.68906,38.17428
-124.73053,38.27779
-124.77212,38.38129
-124.81384,38.48478
-124.85567,38.58826
-124.89762,38.69172
-124.9397,38.79517
-124.9819,38.8986
-125.02423,39.00201
-125.06668,39.10542
-125.10925,39.20881
-125.15195,39.31218
-125.19478,39.41553
-125.23772,39.51887
-125.28081,39.62219
-125.32401,39.7255
-125.36735,39.82878
-125.4108,39.93205
-125.4544,40.0353
-125.49812,40.13853
-125.54197,40.24174
-125.58595,40.34493
-125.63007,40.4481
-125.67431,40.55125
-125.71868,40.65438
-125.76319,40.75748
-125.80784,40.86057
-125.85262,40.96363
-125.89752,41.06667
-125.94257,41.16969
-125.98775,41.27268
-126.03307,41.37564
-126.07853,41.47859
-126.12412,41.58151
-126.16986,41.6844
-126.21573,41.78727
-126.26174,41.89011
-126.30789,41.99292
-126.35418,42.09571
-126.40061,42.19847
-126.44719,42.3012
-126.4939,42.40391
-126.54077,42.50658
-126.58777,42.60923
-126.63492,42.71184
-126.68221,42.81443
-126.72965,42.91698
-126.77724,43.01951
-126.82497,43.12201
-126.87286,43.22447
-126.92088,43.3269
-126.96906,43.42929
-127.01739,43.53166
-127.06587,43.63399
-127.1145,43.73629
-127.16328,43.83855
-127.21221,43.94078
-127.2613,44.04297
-127.31054,44.14513
-127.35994,44.24725
-127.40948,44.34933
-127.45919,44.45139
-127.50906,44.55339
-127.55907,44.65537
-127.60925,44.75731
-127.65959,44.8592
-127.71008,44.96106
-127.76074,45.06288
-127.81156,45.16466
-127.86254,45.2664
-127.91368,45.3681
-127.96499,45.46975
-128.01645,45.57137
-128.06808,45.67294
-128.11989,45.77447
-128.17184,45.87596
-128.22398,45.9774
-128.27628,46.0788
-128.32875,46.18016
-128.38139,46.28147
-128.43419,46.38274
-128.48717,46.48396
-128.54033,46.58514
-128.59364,46.68627
-128.64714,46.78735
-128.70081,46.88839
-128.75465,46.98937
-128.80867,47.09031
-128.86287,47.1912
-128.91725,47.29205
-128.9718,47.39284
-129.02652,47.49358
-129.08144,47.59427
-129.13654,47.69491
-129.1918,47.79551
-129.24725,47.89604
-129.3029,47.99653
-129.35872,48.09696
-119.53764,22.95081
-119.56554,23.05216
-119.59351,23.15356
-119.62155,23.255
-119.64965,23.35647
-119.67783,23.45798
-119.70607,23.55953
-119.73438,23.66111
-119.76276,23.76274
-119.79121,23.8644
-119.81973,23.96609
-119.84831,24.06782
-119.87697,24.16959
-119.9057,24.27139
-119.9345,24.37323
-119.96337,24.47511
-119.99231,24.57701
-120.02132,24.67896
-120.05041,24.78093
-120.07957,24.88294
-120.1088,24.98499
-120.1381,25.08706
-120.16747,25.18917
-120.19692,25.29132
-120.22644,25.39349
-120.25603,25.4957
-120.28571,25.59794
-120.31545,25.70021
-120.34527,25.80251
-120.37516,25.90484
-120.40513,26.0072
-120.43517,26.1096
-120.46529,26.21202
-120.49548,26.31447
-120.52575,26.41695
-120.55609,26.51946
-120.58652,26.622
-120.61701,26.72457
-120.64759,26.82716
-120.67825,26.92978
-120.70898,27.03244
-120.73978,27.13511
-120.77068,27.23782
-120.80164,27.34055
-120.83269,27.4433
-120.86381,27.54609
-120.89501,27.64889
-120.9263,27.75173
-120.95766,27.85458
-120.98911,27.95747
-121.02063,28.06037
-121.05224,28.1633
-121.08392,28.26626
-121.11569,28.36923
-121.14754,28.47223
-121.17948,28.57526
-121.21149,28.6783
-121.24359,28.78137
-121.27577,28.88446
-121.30804,28.98757
-121.34039,29.0907
-121.37283,29.19385
-121.40534,29.29702
-121.43794,29.40021
-121.47063,29.50342
-121.5034,29.60665
-121.53626,29.7099
-121.56921,29.81317
-121.60224,29.91645
-121.63536,30.01975
-121.66856,30.12308
-121.70186,30.22641
-121.73524,30.32977
-121.76871,30.43314
-121.80226,30.53653
-121.83591,30.63993
-121.86964,30.74335
-121.90347,30.84678
-121.93739,30.95023
-121.97139,31.05369
-122.00549,31.15717
-122.03967,31.26066
-122.07394,31.36417
-122.10831,31.46768
-122.14278,31.57121
-122.17733,31.67476
-122.21198,31.77831
-122.24671,31.88188
-122.28154,31.98545
-122.31647,32.08904
-122.35149,32.19264
-122.3866,32.29625
-122.42181,32.39987
-122.45712,32.50349
-122.49252,32.60713
-122.52801,32.71078
-122.56361,32.81443
-122.59929,32.91809
-122.63508,33.02177
-122.67096,33.12544
-122.70694,33.22913
-122.74302,33.33282
-122.7792,33.43651
-122.81548,33.54022
-122.85185,33.64392
-122.88834,33.74764
-122.92491,33.85136
-122.96159,33.95508
-122.99837,34.0588
-123.03525,34.16253
-123.07223,34.26627
-123.10931,34.37
-123.1465,34.47374
-123.18379,34.57748
-123.22118,34.68122
-123.25868,34.78497
-123.29629,34.88871
-123.33399,34.99246
-123.3718,35.0962
-123.40972,35.19995
-123.44775,35.30369
-123.48588,35.40744
-123.52412,35.51118
-123.56246,35.61492
-123.60091,35.71866
-123.63947,35.8224
-123.67815,35.92613
-123.71692,36.02986
-123.75581,36.13358
-123.79481,36.23731
-123.83392,36.34103
-123.87314,36.44474
-123.91247,36.54845
-123.95191,36.65215
-123.99147,36.75585
-124.03114,36.85954
-124.07092,36.96322
-124.11082,37.0669
-124.15083,37.17057
-124.19095,37.27423
-124.23119,37.37788
-124.27155,37.48153
-124.31202,37.58516
-124.35261,37.68879
-124.39331,37.7924
-124.43414,37.89601
-124.47507,37.9996
-124.51614,38.10319
-124.55732,38.20676
-124.59862,38.31032
-124.64003,38.41387
-124.68157,38.51741
-124.72324,38.62093
-124.76501,38.72444
-124.80692,38.82793
-124.84895,38.93141
-124.8911,39.03488
-124.93337,39.13833
-124.97577,39.24177
-125.0183,39.34519
-125.06094,39.44859
-125.10371,39.55198
-125.14661,39.65535
-125.18964,39.7587
-125.2328,39.86203
-125.27608,39.96535
-125.3195,40.06865
-125.36304,40.17193
-125.40671,40.27519
-125.45051,40.37843
-125.49444,40.48164
-125.5385,40.58484
-125.5827,40.68802
-125.62702,40.79117
-125.67149,40.89431
-125.71608,40.99742
-125.7608,41.10051
-125.80567,41.20357
-125.85067,41.30661
-125.89581,41.40963
-125.94108,41.51262
-125.98648,41.61559
-126.03203,41.71853
-126.07771,41.82145
-126.12354,41.92434
-126.1695,42.0272
-126.21561,42.13004
-126.26186,42.23284
-126.30824,42.33562
-126.35477,42.43838
-126.40144,42.5411
-126.44825,42.6438
-126.49521,42.74646
-126.54231,42.8491
-126.58956,42.9517
-126.63696,43.05428
-126.6845,43.15682
-126.73219,43.25933
-126.78003,43.36181
-126.82801,43.46426
-126.87614,43.56667
-126.92443,43.66905
-126.97286,43.7714
-127.02145,43.87371
-127.07019,43.97599
-127.11908,44.07823
-127.16812,44.18044
-127.21732,44.28261
-127.26668,44.38474
-127.31618,44.48684
-127.36585,44.5889
-127.41567,44.69093
-127.46565,44.79291
-127.51579,44.89486
-127.56609,44.99677
-127.61654,45.09863
-127.66715,45.20046
-127.71793,45.30225
-127.76888,45.404
-127.81998,45.50571
-127.87124,45.60737
-127.92267,45.70899
-127.97427,45.81057
-128.02603,45.91211
-128.07796,46.01361
-128.13005,46.11506
-128.18231,46.21646
-128.23474,46.31783
-128.28734,46.41914
-128.34012,46.52042
-128.39305,46.62164
-128.44617,46.72282
-128.49947,46.82395
-128.55292,46.92504
-128.60655,47.02608
-128.66037,47.12707
-128.71436,47.22801
-128.76851,47.3289
-128.82286,47.42974
-128.87738,47.53054
-128.93207,47.63128
-128.98695,47.73197
-129.04201,47.83261
-129.09726,47.9332
-129.15268,48.03374
-129.20828,48.13422
-119.42756,22.97641
-119.45534,23.07781
-119.48318,23.17925
-119.51109,23.28073
-119.53907,23.38224
-119.56712,23.4838
-119.59523,23.58539
-119.62341,23.68702
-119.65166,23.78868
-119.67999,23.89038
-119.70838,23.99212
-119.73684,24.0939
-119.76537,24.19571
-119.79397,24.29756
-119.82264,24.39944
-119.85139,24.50135
-119.8802,24.60331
-119.90908,24.70529
-119.93803,24.80731
-119.96706,24.90937
-119.99616,25.01145
-120.02534,25.11357
-120.05458,25.21573
-120.08389,25.31791
-120.11329,25.42013
-120.14275,25.52238
-120.17229,25.62467
-120.2019,25.72698
-120.23158,25.82932
-120.26134,25.9317
-120.29118,26.03411
-120.32108,26.13654
-120.35107,26.23901
-120.38113,26.34151
-120.41126,26.44403
-120.44147,26.54659
-120.47176,26.64917
-120.50213,26.75178
-120.53257,26.85442
-120.56309,26.95709
-120.59368,27.05978
-120.62435,27.1625
